#name            lambda_eff      filter_id       fit?
GALEXFUV         0.152           123             1
GALEXNUV         0.231           124             1
SDSSu            0.3534          229             1
SDSSg            0.4742          230             1
PS1g-band        0.483           323             1
SDSSr            0.6189          231             1
PS1r-band        0.619           324             1
PS1i-band        0.752           324             1
SDSSi            0.7595          232             1
PS1z-band        0.866           326             1
SDSSz            0.9032          233             1
PS1y-band        0.971           327             1
WISEW1           3.4             280             1
WISEW2           4.6             281             1
WISEW3           12.0            282             1
WISEW4           22.0            283             1
MIPS24           24.0            157             1
MIPS70           70.0            158             1
Herschel75       75.0            169             1
MIPS160          160.0           159             1
Herschel110      110.0           170             1
Herschel170      170.0           171             1
Herschel250      250.0           172             1
Herschel350      350.0           173             1
Herschel500      500.0           174             1
