# Program   Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1211883.fits    0.0500  PGC1211883e Unk /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1211883.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1071534.fits    0.0942  PGC1071534e S0-a    /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1071534.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1136122.fits    0.0639  PGC1136122e S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1136122.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1115312.fits    0.0500  PGC1115312e S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1115312.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC191062.fits 0.0493  PGC191062e  S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC191062.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC170383.fits 0.0267  PGC170383e  E   /home/ec2-user/galaxies/POGSSNR_PS1only_PGC170383.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC067849.fits 0.0270  PGC067849e  E   /home/ec2-user/galaxies/POGSSNR_PS1only_PGC067849.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC091724.fits 0.0274  PGC091724e  Sd  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC091724.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1094258.fits    0.0274  PGC1094258e E?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1094258.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1227505.fits    0.0500  PGC1227505e Unk /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1227505.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC067858.fits 0.0270  PGC067858e  Sb  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC067858.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_NGC7181.fits   0.0262  NGC7181e    S0  /home/ec2-user/galaxies/POGSSNR_PS1only_NGC7181.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC191147.fits 0.0500  PGC191147e  S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC191147.fits  0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_NGC7182.fits   0.0268  NGC7182e    S0-a    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC7182.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1162816.fits    0.0641  PGC1162816e S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1162816.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1092847.fits    0.0493  PGC1092847e S?  /home/ec2-user/galaxies/POGSSNR_PS1only_PGC1092847.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_UGC11876.fits  0.0134  UGC11876e   Sc  /home/ec2-user/galaxies/POGSSNR_PS1only_UGC11876.fits   0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_NGC7189.fits   0.0303  NGC7189e    SBb /home/ec2-user/galaxies/POGSSNR_PS1only_NGC7189.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_IC1425.fits    0.0322  IC1425e E   /home/ec2-user/galaxies/POGSSNR_PS1only_IC1425.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC191161.fits 0.0267  PGC191161e  S0-a    /home/ec2-user/galaxies/POGSSNR_PS1only_PGC191161.fits  0   1
