#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0089.fits    0.0181  IC0089a   S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0262.fits    0.0185  IC0262a   S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0278.fits    0.0168  IC0278a   E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0749.fits    0.0034  IC0749a   Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0769.fits    0.0076  IC0769a   Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0971.fits    0.0111  IC0971a   Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC0983.fits    0.0186  IC0983a   SBbc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC3102.fits    0.0076  IC3102a   S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_IC3576.fits    0.0038  IC3576a   SBm    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0036.fits   0.0201  NGC0036a  SABb   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0171.fits   0.0125  NGC0171a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0173.fits   0.0145  NGC0173a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0193.fits   0.0146  NGC0193a  E-SO   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0266.fits   0.0160  NGC0266a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0309.fits   0.0186  NGC0309a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0315.fits   0.0170  NGC0315a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0337A.fits  0.0033  NGC0337Aa     SABd   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0357.fits   0.0078  NGC0357a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0383.fits   0.0172  NGC0383a  E-SO   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0428.fits   0.0037  NGC0428a  SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0447.fits   0.0190  NGC0447a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0450.fits   0.0057  NGC0450a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0470.fits   0.0078  NGC0470a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0474.fits   0.0078  NGC0474a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC0521.fits   0.0166  NGC0521a  Sbc    0.05    0
