#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1211883.fits   0.0500  PGC1211883a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1071534.fits   0.0942  PGC1071534a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1136122.fits   0.0639  PGC1136122a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1115312.fits   0.0500  PGC1115312a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191062.fits    0.0493  PGC191062a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC170383.fits    0.0267  PGC170383a  E   0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067849.fits    0.0270  PGC067849a  E   0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC091724.fits    0.0274  PGC091724a  Sd  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1094258.fits   0.0274  PGC1094258a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1227505.fits   0.0500  PGC1227505a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067858.fits    0.0270  PGC067858a  Sb  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7181.fits  0.0262  NGC7181a    S0  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191147.fits    0.0500  PGC191147a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7182.fits  0.0268  NGC7182a    S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1162816.fits   0.0641  PGC1162816a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1092847.fits   0.0493  PGC1092847a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_UGC11876.fits 0.0134  UGC11876a   Sc  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7189.fits  0.0303  NGC7189a    SBb 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_IC1425.fits   0.0322  IC1425a E   0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191161.fits    0.0267  PGC191161a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067958.fits    0.0264  PGC067958a  Sa  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1069967.fits   0.0500  PGC1069967a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067969.fits    0.0327  PGC067969a  Sbc 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1237767.fits   0.0500  PGC1237767a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067982.fits    0.0425  PGC067982a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_IC1428.fits   0.0410  IC1428a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC091726.fits    0.0330  PGC091726a  Sc  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC067998.fits    0.0411  PGC067998a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_SDSSJ220458.71-002752.1.fits  0.0158  SDSSJ220458.71-002752.1a    Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7198.fits  0.0160  NGC7198a    S0  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191315.fits    0.0318  PGC191315a  S0-a    0.1 0   1
