# Program   Filename   Redshift   Galaxy   Type   Sigma   Priority   Run_Id   Tags
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ARP007.fits   0.0184   ARP007   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ARP007.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG005-008.fits   0.0132   CGCG005-008   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG005-008.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG006-020.fits   0.0268   CGCG006-020   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG006-020.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG060-036.fits   0.0071   CGCG060-036   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG060-036.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG061-057.fits   0.0281   CGCG061-057   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG061-057.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG061-058.fits   0.0285   CGCG061-058   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG061-058.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_DDO057.fits   0.0068   DDO057   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_DDO057.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_DDO060.fits   0.0065   DDO060   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_DDO060.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_DDO060.fits   0.0065   DDO060   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_DDO060.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO432-G005.fits   0.0000   ESO432-G005   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO432-G005.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO432-G010.fits   0.0410   ESO432-G010   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO432-G010.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO432-G011.fits   0.0000   ESO432-G011   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO432-G011.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO432-G015.fits   0.0067   ESO432-G015   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO432-G015.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO432-G017.fits   0.0470   ESO432-G017   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO432-G017.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO433-G002.fits   0.0068   ESO433-G002   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO433-G002.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO433-G002.fits   0.0068   ESO433-G002   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO433-G002.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO433-G003.fits   0.0000   ESO433-G003   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO433-G003.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO433-G010.fits   0.0071   ESO433-G010   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO433-G010.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G004.fits   0.0130   ESO496-G004   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G004.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G005.fits   0.0118   ESO496-G005   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G005.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G007.fits   0.0174   ESO496-G007   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G007.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G007.fits   0.0174   ESO496-G007   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G007.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G007.fits   0.0174   ESO496-G007   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G007.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G008.fits   0.0000   ESO496-G008   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G008.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G009.fits   0.0310   ESO496-G009   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G009.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G010.fits   0.0025   ESO496-G010   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G010.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G011.fits   0.0398   ESO496-G011   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G011.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G012.fits   0.0087   ESO496-G012   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G012.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G013.fits   0.0173   ESO496-G013   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G013.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G014.fits   0.0000   ESO496-G014   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G014.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G015.fits   0.0253   ESO496-G015   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G015.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G016.fits   0.0156   ESO496-G016   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G016.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G017.fits   0.0000   ESO496-G017   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G017.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G017.fits   0.0000   ESO496-G017   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G017.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO496-G017.fits   0.0000   ESO496-G017   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO496-G017.fits   0   1   'NEDgalPV2_130..140d_-30..80d_1..3'
