# Program   Filename   Redshift   Galaxy   Type   Sigma   Priority   Run_Id   Tags
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_RC30937.2-0336.fits   0.0000   RC30937.2-0336   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_RC30937.2-0336.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_RC30938.0-0340.fits   0.0049   RC30938.0-0340   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_RC30938.0-0340.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_2MASXJ09535103-0747341.fits   0.0193   2MASXJ09535103-0747341   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ09535103-0747341.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_2MASXJ09535103-0747341.fits   0.0193   2MASXJ09535103-0747341   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ09535103-0747341.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_2MASXJ09535103-0747341.fits   0.0193   2MASXJ09535103-0747341   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ09535103-0747341.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_6dFJ0922133-074750.fits   0.0057   6dFJ0922133-074750   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_6dFJ0922133-074750.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ARP321NED01.fits   0.0221   ARP321NED01   'e'   /home/ec2-user/galaxies/POGSSNR_PS1only_ARP321NED01.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ARP321NED02.fits   0.0214   ARP321NED02   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ARP321NED02.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ARP321NED05.fits   0.0228   ARP321NED05   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ARP321NED05.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG008-007.fits   0.0215   CGCG008-007   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG008-007.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG035-021.fits   0.0318   CGCG035-021   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG035-021.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_DDO061.fits   0.0063   DDO061   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_DDO061.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO433-G019.fits   0.0082   ESO433-G019   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO433-G019.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO434-G003.fits   0.0351   ESO434-G003   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO434-G003.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO434-G004.fits   0.0351   ESO434-G004   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO434-G004.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO434-G020.fits   0.0379   ESO434-G020   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO434-G020.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO434-G022.fits   0.0000   ESO434-G022   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO434-G022.fits   0   1   'NEDgalPV2_140..150d_-30..80d_1..3'
