# Program   Filename   Redshift   Galaxy   Type   Sigma   Priority   Run_Id   Tags
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_2MASXJ07093459-0525404.fits   0.0057   2MASXJ07093459-0525404   'i'   /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ07093459-0525404.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_CGCG234-059.fits   0.0178   CGCG234-059   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG234-059.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G004.fits   0.0068   ESO427-G004   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G004.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G005.fits   0.0057   ESO427-G005   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G005.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G011.fits   0.0225   ESO427-G011   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G011.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G014.fits   0.0067   ESO427-G014   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G014.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G015.fits   0.0226   ESO427-G015   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G015.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G016.fits   0.0420   ESO427-G016   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G016.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G022.fits   0.0076   ESO427-G022   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G022.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
./register_fits_file.py   /home/ec2-user/galaxies/POGS_PS1only_ESO427-G023.fits   0.0000   ESO427-G023   's'   /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-G023.fits   0   1   'NEDgalPV2_100..110d_-30..80d_1..3'
