# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_RC31234.6-1014.fits    0.0025    RC31234.6-1014    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_RC31234.6-1014.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-052.fits    0.0201    CGCG013-052    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-052.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-070.fits    0.0209    CGCG013-070    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-070.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-070.fits    0.0209    CGCG013-070    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-070.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-070.fits    0.0209    CGCG013-070    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-070.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-072.fits    0.0195    CGCG013-072    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-072.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-075.fits    0.0256    CGCG013-075    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-075.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-095.fits    0.0206    CGCG013-095    'e'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-095.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG013-112.fits    0.0173    CGCG013-112    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG013-112.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-010.fits    0.0030    CGCG014-010    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-010.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-014.fits    0.0072    CGCG014-014    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-014.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-032.fits    0.0251    CGCG014-032    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-032.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-049.fits    0.0231    CGCG014-049    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-049.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-054.fits    0.0037    CGCG014-054    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-054.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-056.fits    0.0232    CGCG014-056    'e'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-056.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-060.fits    0.0242    CGCG014-060    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-060.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG014-075.fits    0.0237    CGCG014-075    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG014-075.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG098-059.fits    0.0223    CGCG098-059    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG098-059.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_DDO116.fits    0.0039    DDO116    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_DDO116.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_DDO116.fits    0.0039    DDO116    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_DDO116.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_DDO121.fits    0.0069    DDO121    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_DDO121.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO440-G042.fits    0.0270    ESO440-G042    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO440-G042.fits    0    1    'NEDgalPV2_180..190d_-30..80d_1..3'
