# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_RC3145735.4-131427.fits    0.0000    RC3145735.4-131427    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_RC3145735.4-131427.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MFGC12364.fits    0.0252    2MFGC12364    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MFGC12364.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ARP261NED01.fits    0.0061    ARP261NED01    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_ARP261NED01.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ARP261NED04.fits    0.0062    ARP261NED04    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_ARP261NED04.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG020-009.fits    0.0435    CGCG020-009    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG020-009.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG020-034.fits    0.0231    CGCG020-034    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG020-034.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG020-052.fits    0.0212    CGCG020-052    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG020-052.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG048-065.fits    0.0289    CGCG048-065    'e'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG048-065.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG048-072.fits    0.0070    CGCG048-072    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG048-072.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG049-033.fits    0.0446    CGCG049-033    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG049-033.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG075-119.fits    0.0311    CGCG075-119    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG075-119.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG076-100.fits    0.0296    CGCG076-100    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG076-100.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG077-069.fits    0.0278    CGCG077-069    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG077-069.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG077-069.fits    0.0278    CGCG077-069    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG077-069.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG077-069.fits    0.0278    CGCG077-069    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG077-069.fits    0    1    'NEDgalPV2_220..230d_-30..80d_1..3'
