# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ16003120-0559336.fits    0.0279    2MASXJ16003120-0559336    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ16003120-0559336.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MFGC13205.fits    0.0338    2MFGC13205    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MFGC13205.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG023-019.fits    0.0279    CGCG023-019    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG023-019.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG051-021.fits    0.0088    CGCG051-021    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG051-021.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG079-073.fits    0.0310    CGCG079-073    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG079-073.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG108-083.fits    0.0381    CGCG108-083    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG108-083.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG108-115.fits    0.0408    CGCG108-115    'e'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG108-115.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG108-139.fits    0.0373    CGCG108-139    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG108-139.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG108-158.fits    0.0355    CGCG108-158    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG108-158.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG224-055.fits    0.0305    CGCG224-055    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG224-055.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG251-003.fits    0.0196    CGCG251-003    'i'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG251-003.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO451-G004.fits    0.0072    ESO451-G004    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO451-G004.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO451-G008.fits    0.0157    ESO451-G008    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO451-G008.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO451-G011.fits    0.0143    ESO451-G011    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO451-G011.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO451-G012.fits    0.0000    ESO451-G012    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO451-G012.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO451-G014.fits    0.0146    ESO451-G014    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO451-G014.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G002.fits    0.0242    ESO452-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G003.fits    0.0139    ESO452-G003    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G003.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G005.fits    0.0139    ESO452-G005    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G005.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G006.fits    0.0176    ESO452-G006    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G006.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G007.fits    0.0136    ESO452-G007    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G007.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G008.fits    0.0161    ESO452-G008    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G008.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO452-G010.fits    0.0209    ESO452-G010    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO452-G010.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G002.fits    0.0249    ESO516-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G003.fits    0.0246    ESO516-G003    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G003.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G004.fits    0.0000    ESO516-G004    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G004.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G005.fits    0.0245    ESO516-G005    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G005.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G006.fits    0.0157    ESO516-G006    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G006.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G007.fits    0.0247    ESO516-G007    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G007.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO516-G008.fits    0.0237    ESO516-G008    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO516-G008.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G007.fits    0.0000    ESO517-G007    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G007.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G010.fits    0.0000    ESO517-G010    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G010.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G011.fits    0.0137    ESO517-G011    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G011.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G012.fits    0.0171    ESO517-G012    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G012.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G002.fits    0.0271    ESO584-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G003.fits    0.0247    ESO584-G003    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G003.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G004.fits    0.0185    ESO584-G004    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G004.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G005.fits    0.0224    ESO584-G005    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G005.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G007.fits    0.0317    ESO584-G007    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G007.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO584-G008.fits    0.0275    ESO584-G008    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO584-G008.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO585-G002.fits    0.0135    ESO585-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO585-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO585-G002.fits    0.0135    ESO585-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO585-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO585-G002.fits    0.0135    ESO585-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO585-G002.fits    0    1    'NEDgalPV2_240..250d_-30..80d_1..3'
