# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_CGCG225-014.fits    0.0285    CGCG225-014    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG225-014.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO453-G004.fits    0.0226    ESO453-G004    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO453-G004.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO453-G005.fits    0.0209    ESO453-G005    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO453-G005.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO453-G008.fits    0.0000    ESO453-G008    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO453-G008.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO453-G013.fits    0.0209    ESO453-G013    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO453-G013.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO453-G015.fits    0.0151    ESO453-G015    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO453-G015.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G013.fits    0.0276    ESO517-G013    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G013.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO517-G014.fits    0.0443    ESO517-G014    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO517-G014.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO518-G002.fits    0.0203    ESO518-G002    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO518-G002.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO518-G004.fits    0.0184    ESO518-G004    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO518-G004.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO518-G005.fits    0.0276    ESO518-G005    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO518-G005.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO518-G006.fits    0.0277    ESO518-G006    's'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO518-G006.fits    0    1    'NEDgalPV2_250..260d_-30..80d_1..3'
