# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-002.fits    0.0600    ESO422-002    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-002.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-007.fits    0.0390    ESO422-007    'Sc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-007.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-008.fits    0.0463    ESO422-008    'S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-008.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-016.fits    0.0184    ESO422-016    'S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-016.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-029.fits    0.0046    ESO422-029    'S?'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-029.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-032.fits    0.0385    ESO422-032    'S0-a'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-032.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-035.fits    0.0380    ESO422-035    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-035.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-038.fits    0.0231    ESO422-038    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-038.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO422-043.fits    0.0634    ESO422-043    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO422-043.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO423-001.fits    0.0344    ESO423-001    'Sb'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO423-001.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO423-003.fits    0.0637    ESO423-003    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO423-003.fits    0    1    'HL_smallgal_70_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO485-009.fits    0.0731    ESO485-009    'S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO485-009.fits    0    1    'HL_smallgal_70_nameadzt'
