# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO427-005.fits    0.0050    ESO427-005    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-005.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO427-016.fits    0.0412    ESO427-016    'S0-a'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-016.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO427-018.fits    0.0215    ESO427-018    'S0-a'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO427-018.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO428-002.fits    0.0307    ESO428-002    'E-S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO428-002.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO428-008.fits    0.0242    ESO428-008    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO428-008.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO428-018.fits    0.0063    ESO428-018    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO428-018.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO428-019.fits    0.0243    ESO428-019    'Sc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO428-019.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO490-027.fits    0.0230    ESO490-027    'Sab'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO490-027.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO490-032.fits    0.0447    ESO490-032    'Scd'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO490-032.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO490-035.fits    0.0065    ESO490-035    'Sb'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO490-035.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO490-042.fits    0.0052    ESO490-042    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO490-042.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO491-001.fits    0.0069    ESO491-001    'S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO491-001.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO491-010.fits    0.0062    ESO491-010    'IB'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO491-010.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO491-019.fits    0.0261    ESO491-019    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO491-019.fits    0    1    'HL_smallgal_100_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_ESO492-007.fits    0.0083    ESO492-007    'I'    /home/ec2-user/galaxies/POGSSNR_PS1only_ESO492-007.fits    0    1    'HL_smallgal_100_nameadzt'
