# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10005438+2037290.fits    0.0669    2MASXJ10005438+2037290    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10005438+2037290.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10005947+5357426.fits    0.0460    2MASXJ10005947+5357426    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10005947+5357426.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10010442+3941130.fits    0.0454    2MASXJ10010442+3941130    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10010442+3941130.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10010469+0516057.fits    0.0781    2MASXJ10010469+0516057    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10010469+0516057.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10011798+0428028.fits    0.0813    2MASXJ10011798+0428028    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10011798+0428028.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10014557+1044383.fits    0.0516    2MASXJ10014557+1044383    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10014557+1044383.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10014627+5013043.fits    0.0766    2MASXJ10014627+5013043    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10014627+5013043.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10015235+1104193.fits    0.0519    2MASXJ10015235+1104193    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10015235+1104193.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10020429+5054373.fits    0.0483    2MASXJ10020429+5054373    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10020429+5054373.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10020623+4858263.fits    0.0660    2MASXJ10020623+4858263    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10020623+4858263.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10022198+3723059.fits    0.0223    2MASXJ10022198+3723059    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10022198+3723059.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10023581+1051502.fits    0.0786    2MASXJ10023581+1051502    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10023581+1051502.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10024072+3812259.fits    0.0651    2MASXJ10024072+3812259    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10024072+3812259.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10030235+2716262.fits    0.0522    2MASXJ10030235+2716262    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10030235+2716262.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10030770+0321017.fits    0.0581    2MASXJ10030770+0321017    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10030770+0321017.fits    0    1    'HL_smallgal_150_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ10040034+4057303.fits    0.0890    2MASXJ10040034+4057303    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ10040034+4057303.fits    0    1    'HL_smallgal_150_nameadzt'
