# Program    Filename    Redshift    Galaxy    Type    Sigma    Priority    Run_Id    Tags
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ17203635+3827286.fits    0.0390    2MASXJ17203635+3827286    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ17203635+3827286.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_2MASXJ17285430+3621546.fits    0.0508    2MASXJ17285430+3621546    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ17285430+3621546.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_3C353.fits    0.0307    3C353    'E-S0'    /home/ec2-user/galaxies/POGSSNR_PS1only_3C353.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_IC1255.fits    0.0309    IC1255    'Sb'    /home/ec2-user/galaxies/POGSSNR_PS1only_IC1255.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_IC1258.fits    0.0282    IC1258    'Sa'    /home/ec2-user/galaxies/POGSSNR_PS1only_IC1258.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_IC1261.fits    0.0471    IC1261    'E'    /home/ec2-user/galaxies/POGSSNR_PS1only_IC1261.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_IC1268.fits    0.0214    IC1268    'Sc'    /home/ec2-user/galaxies/POGSSNR_PS1only_IC1268.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_IC4669.fits    0.0301    IC4669    'SBb'    /home/ec2-user/galaxies/POGSSNR_PS1only_IC4669.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6365A.fits    0.0293    NGC6365A    'SBc'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6365A.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6367.fits    0.0272    NGC6367    'Sab'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6367.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6371.fits    0.0221    NGC6371    'S0-a'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6371.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6376.fits    0.0294    NGC6376    'Sc'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6376.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6377.fits    0.0291    NGC6377    'Sab'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6377.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6386.fits    0.0245    NGC6386    'Sb'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6386.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6390.fits    0.0116    NGC6390    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6390.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6391.fits    0.0281    NGC6391    'E'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6391.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6418.fits    0.0297    NGC6418    'Sbc'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6418.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6419.fits    0.0275    NGC6419    'Sa'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6419.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6423.fits    0.0250    NGC6423    'Unk'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6423.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6424.fits    0.0270    NGC6424    'E'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6424.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6435.fits    0.0293    NGC6435    'E'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6435.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6446.fits    0.0233    NGC6446    'Sab'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6446.fits    0    1    'HL_smallgal_260_nameadzt'
./register_fits_file.py    /home/ec2-user/galaxies/POGS_PS1only_NGC6449.fits    0.0185    NGC6449    'Sc'    /home/ec2-user/galaxies/POGSSNR_PS1only_NGC6449.fits    0    1    'HL_smallgal_260_nameadzt'
