                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  UGC12889                |   0.0070005 |   47.27450 |     5212 |  111.98278858132 |   53.4 | Sb    |
  ESO012-012              |   0.0919995 |  -80.79289 |     7625 | 84.5573373750344 |   34.5 | SABb  |
  PGC000026               |    0.114825 |   -7.88210 |       -  | 60.6947665891908 |   37.9 |       |
  UGC12893                |    0.118755 |   17.22027 |     1168 | 68.8892082133164 |   29.5 | Sd    |
  ESO293-029              |    0.231153 |  -40.71248 |    14492 | 83.5894184558179 |   48.3 | SBc   |
  ESO349-017              |   0.2440935 |  -33.61189 |     6736 | 71.8044235215795 |   33.0 | Sc    |
  NGC7802                 |   0.2515185 |    6.24195 |     5336 | 70.9824858616729 |   56.7 | S0    |
  ESO241-010              |   0.2621445 |  -43.33060 |    11364 |   89.15614891353 |   41.3 | E     |
  ESO149-011A             |    0.274959 |  -53.99191 |     9186 | 66.7039042228002 |   52.4 | S0-a  |
  UGC12904                |    0.309042 |   34.67572 |    12871 | 61.3975781886058 |   50.6 | SBab  |
  NGC7806                 |   0.3754425 |   31.44193 |     4906 | 72.6358787618945 |   59.8 | SABb  |
  UGC12914                |    0.409659 |   23.48359 |     4476 |  111.98278858132 |   54.2 | SBc   |
  ESO409-003              |    0.482469 |  -27.62720 |     8352 | 81.8749863974293 |   32.8 | Sab   |
  PGC000160               |    0.543792 |  -43.97772 |    11509 | 81.6866703647081 |   51.4 | E-SO  |
  PGC000176               |    0.645198 |   -3.71081 |     6427 | 64.2911540789165 |   54.4 | Sbc   |
  NGC7812                 |    0.727149 |  -34.23558 |     6634 |  66.092366990216 |   50.8 | SABb  |
  PGC000211               |    0.796083 |  -54.74950 |     9535 | 64.2911540789165 |   40.3 | E-SO  |
  ESO349-022              |   0.8040105 |  -35.93688 |    14746 | 72.1358732052396 |   13.5 | S0    |
  UGC00009                |   0.8254965 |    4.62792 |    29571 | 60.2769438428993 |   51.6 | S?    |
  NGC7808                 |   0.8839395 |  -10.74467 |     8842 | 65.0356098428257 |   26.6 | S0    |
  UGC00014                |    0.895833 |   23.20081 |     7346 | 62.5390467249118 |   59.0 | Sc    |
  NGC7816                 |    0.953616 |    7.47860 |     5256 | 98.6622945100759 |   22.4 | Sbc   |
  PGC000290               |    1.058154 |  -52.91598 |     9535 | 87.3275423419863 |   54.8 | E-SO  |
