                  objname |   logd25 |  al2000*15. |     de2000 |     t |  type |     vvir |
  UGC00017                |     1.39 |   0.9301335 |   15.21818 |   9.1 | Sm    |      932 |
  NGC0010                 |     1.37 |    2.144172 |  -33.85782 |   4.1 | Sbc   |     6628 |
  UGC00099                |     1.40 |   2.6697855 |   13.70944 |   8.8 | Sm    |     1785 |
  NGC0036                 |     1.33 |    2.842959 |    6.38922 |   3.0 | SABb  |     6039 |
  ESO150-005              |     1.37 |    5.609493 |  -53.64788 |   7.8 | SABd  |     1192 |
  NGC0173                 |     1.32 |    9.301959 |    1.94225 |   4.8 | Sc    |     4342 |
  NGC0171                 |     1.31 |     9.33972 |  -19.93427 |   2.2 | Sab   |     3756 |
  NGC0180                 |     1.34 |   9.4903755 |    8.63522 |   4.6 | Sc    |     5289 |
  NGC0193                 |     1.32 |   9.8273745 |    3.33133 |  -3.0 | E-SO  |     4378 |
  NGC0238                 |     1.30 |   10.857291 |  -50.18278 |   2.9 | SBb   |     8374 |
  NGC0254                 |     1.44 |   11.866527 |  -31.42211 |  -1.2 | S0-a  |     1448 |
  NGC0255                 |     1.31 |  11.9470935 |  -11.46873 |   4.1 | Sbc   |     1505 |
  NGC0266                 |     1.47 |   12.449091 |   32.27769 |   1.6 | Sab   |     4785 |
  NGC0278                 |     1.37 |  13.0179165 |   47.55053 |   3.0 | SABb  |      823 |
  NGC0309                 |     1.35 |   14.177733 |   -9.91389 |   5.0 | SABc  |     5568 |
  NGC0315                 |     1.46 |   14.453667 |   30.35393 |  -4.1 | E     |     5085 |
  NGC0337                 |     1.47 |   14.958675 |   -7.57818 |   6.7 | SBcd  |     1572 |
  NGC0337A                |     1.42 |   15.391296 |   -7.58816 |   8.0 | SABd  |     1004 |
  NGC0357                 |     1.32 |   15.841176 |   -6.33881 |  -0.2 | S0-a  |     2330 |
  UGC00655                |     1.40 |  16.0060005 |   41.84174 |   8.8 | Sm    |      985 |
  NGC0383                 |     1.38 |   16.853778 |   32.41266 |  -2.9 | E-SO  |     5173 |
  IC1633                  |     1.46 |  17.4816765 |  -45.93124 |  -3.9 | E     |     7032 |
