                  objname |  al2000*15. |     de2000 |     vvir |    6.*10.^logd25 |   incl |  type |
  PGC1211883              |   330.03525 |    1.97270 |       -  | 34.5263954820587 |   84.2 |       |
  PGC1071534              | 330.1130655 |   -3.42053 |    28250 | 30.0712331922124 |   65.7 | S0-a  |
  PGC1136122              |  330.220338 |   -0.73149 |    19169 | 40.0084062406724 |   59.1 | S?    |
  PGC1115312              |  330.222708 |   -1.58225 |       -  | 36.1535727827548 |   90.0 | S?    |
  PGC191062               | 330.2463795 |   -3.63440 |    14785 | 33.0484615303234 |   77.7 | S?    |
  PGC170383               | 330.3481365 |   -3.75667 |     7998 | 48.7698339149438 |   49.5 | E     |
  PGC067849               | 330.3524445 |   -2.10388 |     8100 | 33.7404795114209 |   53.0 | E     |
  PGC091724               |  330.369909 |    3.56440 |     8206 | 38.7392539547497 |   90.0 | Sd    |
  PGC1094258              |  330.379077 |   -2.36033 |     8226 | 42.4767493949328 |   90.0 | E?    |
  PGC1227505              | 330.3961665 |    2.45475 |       -  |  30.771681519111 |   60.8 |       |
  PGC067858               |  330.422376 |   -2.09829 |     8098 | 50.2517543895941 |   59.5 | Sb    |
  NGC7181                 |  330.431223 |   -1.96062 |     7853 | 43.7674481644779 |   40.9 | S0    |
  PGC191147               | 330.4347495 |   -2.12472 |       -  | 30.1405536505037 |   45.2 | S?    |
  NGC7182                 | 330.4653315 |   -2.19665 |     8047 | 47.6596914670395 |   67.1 | S0-a  |
  PGC1162816              |  330.466536 |    0.31892 |    19226 | 34.1311754758845 |   47.3 | S?    |
  PGC1092847              |  330.615612 |   -2.41017 |    14797 |  36.572216042922 |   90.0 | S?    |
  UGC11876                |   330.62088 |    2.83412 |     4007 | 42.4767493949328 |   83.6 | Sc    |
  NGC7189                 | 330.8166495 |    0.57158 |     9090 | 59.4499155839162 |   52.5 | SBb   |
  IC1425                  | 330.8521665 |    2.59475 |     9653 | 47.6596914670395 |   59.8 | E     |
  PGC191161               |  330.949017 |   -2.47355 |     8018 | 32.9724531555049 |   68.3 | S0-a  |
  PGC067958               | 330.9513105 |   -2.37992 |     7908 | 51.1860061666543 |   58.4 | Sa    |
  PGC1069967              | 331.0311255 |   -3.53578 |       -  | 30.0712331922124 |   80.6 | S?    |
  PGC067969               |  331.052847 |   -0.03216 |     9821 | 34.9261919158274 |   40.5 | Sbc   |
  PGC1237767              |   331.06155 |    2.79870 |       -  | 34.5263954820587 |   79.3 | S?    |
  PGC067982               | 331.1055315 |    0.71545 |    12749 | 36.4880983540396 |   58.0 | S0-a  |
  IC1428                  |  331.115292 |    2.63083 |    12295 | 42.4767493949328 |   61.8 | S?    |
  PGC091726               |  331.179423 |   -2.97271 |     9898 | 41.2241075776749 |   87.0 | Sc    |
  PGC067998               |  331.211667 |    2.51425 |    12315 | 41.5098557484515 |   66.3 | S?    |
  SDSSJ220458.71-002752.1 |  331.244649 |   -0.46451 |     4739 |   33.35425580244 |   74.5 |       |
  NGC7198                 | 331.3092675 |   -0.64829 |     4806 | 58.9048743822461 |   47.5 | S0    |
  PGC191315               |  331.314195 |   -1.12597 |     9528 | 30.8426208897326 |   52.0 | S0-a  |
  PGC191337               | 331.3626855 |   -0.53360 |     9344 | 63.4090576541091 |   90.0 | S?    |
  PGC1156494              | 331.3779525 |    0.07720 |       -  | 41.5098557484515 |   90.0 | S?    |
  PGC1237186              |  331.470915 |    2.77790 |       -  | 37.8574417079587 |   78.6 | S?    |
  PGC1205930              | 331.5451665 |    1.79003 |       -  |    38.4725729477 |   62.9 | S0-a  |
  PGC068032               | 331.5855135 |    1.12102 |    14559 | 45.6195747631407 |   48.7 | E?    |
  UGC11907                |  331.585839 |    2.34836 |    12217 | 59.5869600266005 |   59.2 | S0-a  |
  PGC1076535              |  331.626288 |   -3.09888 |     8514 | 30.0712331922124 |   47.6 | S?    |
  SDSSJ220634.97+000327.6 | 331.6459125 |    0.05783 |       -  | 39.5504342357559 |   53.9 |       |
  PGC068042               | 331.6463325 |    0.05644 |       -  | 41.7014597879111 |   55.4 | S?    |
  PGC068072               |  331.807509 |   -0.59843 |     8870 | 34.7657227017242 |   36.1 | S?    |
  PGC068095               | 331.9859715 |    0.37014 |    16869 | 44.2742508424583 |   17.8 | SABb  |
  2MASXJ22080447+0108060  |  332.018778 |    1.13500 |    25661 | 35.2493606486564 |   49.7 | S?    |
  NGC7215                 |  332.143632 |    0.51167 |     4033 |  54.343958201918 |   90.0 | S0    |
  PGC1072442              | 332.1646335 |   -3.35333 |     7215 | 41.5098557484515 |   90.0 | E?    |
  PGC1254476              | 332.2356255 |    3.55844 |       -  | 31.4884496893663 |   79.7 | S?    |
  PGC1094054              | 332.2393815 |   -2.36886 |    15965 | 32.2219091973474 |   50.2 | S?    |
  PGC1204485              | 332.2787625 |    1.74420 |       -  | 33.7404795114209 |   61.4 | S?    |
  PGC068149               |  332.279076 |    2.01571 |     3873 | 37.7703731278868 |   41.4 |       |
  PGC1236665              |    332.3406 |    2.76000 |       -  | 39.6416062275834 |   72.4 |       |
  PGC068167               |   332.35971 |   -1.64638 |    10104 | 33.5082100654229 |   23.5 | Sbc   |
  PGC1086643              | 332.3840415 |   -2.63362 |       -  | 31.4884496893663 |   77.7 |       |
  PGC1088268              | 332.3872035 |   -2.57482 |     2946 | 31.4884496893663 |   70.6 | S?    |
  PGC1083917              |   332.39721 |   -2.74592 |    16625 | 32.2219091973474 |   90.0 | S?    |
  PGC1197963              | 332.4310005 |    1.53886 |       -  |  30.771681519111 |   65.8 | S?    |
  PGC1179165              | 332.5581225 |    0.92159 |    26829 | 32.2961874119555 |   61.5 | S?    |
  PGC068206               | 332.6200125 |   -0.02161 |    13661 | 32.9724531555049 |   71.5 | S?    |
  PGC1091774              | 332.6244495 |   -2.44686 |    14686 | 32.9724531555049 |   90.0 | E?    |
  NGC7222                 | 332.7154995 |    2.10569 |    12393 | 64.4393674290403 |    9.4 | SBab  |
  PGC1220485              | 332.7655005 |    2.23767 |       -  | 31.4884496893663 |   71.1 | S?    |
  PGC068229               |  332.789208 |    2.10656 |       -  | 34.5263954820587 |   44.9 | Sa    |
  PGC1203369              | 332.7977355 |    1.70767 |       -  | 40.5649769646663 |   48.5 |       |
  PGC1128634              | 332.8039425 |   -1.02698 |    10245 | 35.3306177696737 |   61.5 | S?    |
  PGC1153158              |  332.864307 |   -0.05050 |    15724 | 36.1535727827548 |   55.9 | S0-a  |
  PGC068240               |  332.866824 |    1.93573 |     7745 | 39.5504342357559 |   71.1 | S0-a  |
  PGC1228547              |  332.915667 |    2.48772 |       -  | 44.4786149664116 |   76.7 | S?    |
  PGC1225072              |  332.920485 |    2.38146 |     9956 | 43.4661590362201 |   83.8 | S?    |
  PGC1139795              |  332.951025 |   -0.58332 |    14041 | 31.3437709613916 |   47.8 | S?    |
  PGC068251               | 332.9555865 |    2.43999 |     9903 | 44.4786149664116 |   75.2 | Sa    |
  PGC1191673              |  332.963541 |    1.33272 |       -  | 31.1997612650203 |   41.6 | S?    |
  PGC068258               | 332.9704335 |    0.10870 |     9997 | 54.8467976798478 |   51.7 | SBbc  |
  PGC068264               | 332.9969865 |   -0.25306 |     4876 | 46.3608363273963 |   45.3 | S?    |
  PGC1150961              |  333.013014 |   -0.13933 |    17508 | 30.2100380530647 |   68.8 |       |
  PGC1127166              | 333.0515775 |   -1.08508 |    16815 | 39.5504342357559 |   57.5 | S?    |
  PGC1134507              | 333.0990045 |   -0.79599 |    10181 | 38.1198535672804 |   52.8 | S?    |
  2MASXJ22131883+0032262  |  333.328533 |    0.54079 |    26229 | 30.5598534713555 |   76.4 | S?    |
  PGC1109092              |  333.332139 |   -1.82307 |       -  | 30.0712331922124 |   53.0 | Sab   |
  PGC1211625              | 333.3421215 |    1.96390 |       -  | 43.4661590362201 |   90.0 | S?    |
  PGC1073911              |  333.387162 |   -3.25594 |       -  | 33.7404795114209 |   90.0 | S?    |
  PGC1216524              |    333.3918 |    2.11840 |       -  | 31.4884496893663 |   50.7 | S?    |
  PGC1173010              | 333.4724235 |    0.69557 |    12874 | 34.6857647866024 |   63.9 | S?    |
  PGC1082530              | 333.5369205 |   -2.80138 |    16391 | 32.0738604721299 |   75.1 | S0-a  |
  PGC1142613              | 333.5452515 |   -0.46779 |    10449 | 34.6857647866024 |   87.9 | S?    |
  PGC068357               | 333.5867235 |    1.01860 |     8926 |  53.106939855165 |   61.8 | S?    |
  PGC1092914              | 333.5867685 |   -2.40806 |    27665 | 37.5968310960249 |   61.7 | Sab   |
  PGC1066166              |   333.66453 |   -3.84178 |       -  | 40.5649769646663 |   90.0 |       |
  PGC1096363              | 333.7235055 |   -2.28555 |       -  | 32.2219091973474 |   90.0 | S?    |
  PGC068387               | 333.7316835 |    0.27475 |    15684 | 33.6628795598799 |   37.2 | S?    |
  PGC1175917              |  333.751497 |    0.80398 |    13237 | 39.5504342357559 |   90.0 | S?    |
  PGC1078764              |  333.802908 |   -2.97510 |    16410 | 54.7206476577104 |   90.0 | S?    |
  PGC1113662              |  333.807102 |   -1.65091 |    14586 | 31.7798049586405 |   71.8 | Sab   |
  PGC1068487              |  333.856872 |   -3.65498 |    16793 | 40.9403208393865 |   90.0 | E     |
  PGC1156435              | 333.8587875 |    0.07336 |    13598 | 36.6565226212595 |   90.0 | S0-a  |
  PGC1099189              | 333.8948865 |   -2.19167 |    14396 | 31.4884496893663 |   86.3 | S?    |
  PGC1126253              |  333.923529 |   -1.12296 |    14205 | 45.5146540020192 |   74.3 | Sab   |
  IC1437                  | 333.9373755 |    2.06594 |     8942 |  64.886042919733 |   32.1 | S0-a  |
  PGC1258513              |   333.96585 |    3.78390 |       -  | 39.6416062275834 |   69.4 | S?    |
  SDSSJ221602.78+001251.0 | 334.0118175 |    0.21424 |       -  |   33.35425580244 |   78.2 |       |
  PGC1083374              | 334.0161615 |   -2.76825 |    16768 | 36.1535727827548 |   75.2 | Sab   |
  PGC1070270              |  334.052583 |   -3.51225 |       -  | 30.0712331922124 |   57.9 | S?    |
  UGC11970                |     334.155 |    3.41250 |    11590 | 45.5146540020192 |   59.5 | SBb   |
  PGC1130217              |  334.168137 |   -0.96640 |    23054 | 30.0712331922124 |   69.6 | S?    |
  PGC1068274              | 334.2219375 |   -3.67336 |       -  | 38.7392539547497 |   76.7 |       |
  PGC191801               | 334.2597915 |    2.05153 |       -  |  30.771681519111 |   54.3 | S0-a  |
  PGC191813               | 334.3190295 |   -3.66103 |    16952 | 45.6195747631407 |   47.3 | S?    |
  PGC191829               |  334.389462 |   -3.55441 |    18302 | 40.7522195678234 |   68.6 | S0-a  |
  PGC1069382              | 334.3967505 |   -3.58361 |       -  | 32.9724531555049 |   90.0 | S?    |
  PGC1224771              | 334.4232495 |    2.37128 |       -  | 31.4884496893663 |   74.4 | S?    |
  PGC191857               | 334.4621655 |   -2.20841 |    27538 | 40.4716813063856 |   70.1 | Sab   |
  PGC191860               |  334.469814 |   -3.35784 |    17355 | 35.3306177696737 |   77.7 |       |
  PGC1071858              |  334.478004 |   -3.39376 |       -  | 37.8574417079587 |   38.1 |       |
  PGC1071910              | 334.5683745 |   -3.39083 |       -  |  30.771681519111 |   58.8 | S?    |
  PGC191900               |  334.603512 |   -3.56892 |    17133 | 41.0346968094387 |   76.0 | Sab   |
  PGC191903               | 334.6219545 |   -3.00946 |    16829 | 37.2521405813573 |   72.2 | S0-a  |
  PGC191908               |  334.637922 |   -3.46915 |    16689 | 36.2369192744743 |   77.8 | Sab   |
  2MASXJ22183385-0041169  | 334.6412145 |   -0.68800 |    34249 | 32.9724531555049 |   90.0 | S?    |
  PGC068549               | 334.6968195 |   -3.49607 |     4967 | 62.6832208614854 |   22.4 | SABc  |
  PGC1078788              | 334.6998465 |   -2.97352 |    26761 | 55.9952617366465 |   65.7 | Sab   |
  UGC11982                | 334.7206305 |   -1.05868 |     4933 | 73.3079817026087 |   84.6 | SBc   |
  PGC1076406              |  334.725882 |   -3.10577 |    16898 | 33.7404795114209 |   37.7 | S?    |
  PGC1070276              | 334.7671665 |   -3.51169 |       -  | 32.2219091973474 |   68.7 | S?    |
  PGC1070345              | 334.8331245 |   -3.50586 |       -  | 34.5263954820587 |   38.5 | S?    |
  PGC1070754              |  334.833327 |   -3.47815 |    26345 |  30.771681519111 |   61.6 | S0-a  |
  PGC1225555              |  334.838931 |    2.39489 |       -  | 34.5263954820587 |   90.0 | S?    |
  PGC1070711              |  334.843875 |   -3.48217 |       -  |  30.771681519111 |   90.0 | S?    |
  PGC068568               | 334.8526245 |    2.44022 |       -  | 45.5146540020192 |   72.7 | S?    |
  PGC1074282              |  334.880385 |   -3.23160 |       -  | 35.3306177696737 |   90.0 | S?    |
  PGC1069369              | 334.8981705 |   -3.58458 |       -  | 30.0712331922124 |   66.1 |       |
  PGC1070267              |  334.910889 |   -3.51274 |    18515 |  30.771681519111 |   65.6 | S?    |
  PGC1207487              | 334.9270545 |    1.83623 |       -  | 36.1535727827548 |   58.5 | S?    |
  PGC1077467              | 334.9527315 |   -3.04609 |    27229 | 34.5263954820587 |   53.8 | S?    |
  PGC1074663              | 334.9735305 |   -3.20581 |    16792 | 38.7392539547497 |   68.4 | Sab   |
  PGC068590               | 335.0165355 |   -3.45391 |    17000 | 52.1376270165666 |    0.0 | Sb    |
  PGC1244747              |  335.045667 |    3.08369 |       -  | 34.5263954820587 |   53.7 | S?    |
  PGC1098852              | 335.0516025 |   -2.20242 |    12639 | 46.5748254636052 |   71.8 | Sab   |
  PGC1163530              |  335.095743 |    0.34295 |    18365 | 54.5947952789647 |   90.0 | S?    |
  PGC1125220              |    335.1897 |   -1.16336 |    11313 |   33.35425580244 |   30.0 | S?    |
  PGC1083253              |   335.28339 |   -2.77253 |    16959 | 45.5146540020192 |   86.8 | S?    |
  PGC1181410              |  335.317422 |    0.99713 |    17101 | 34.6857647866024 |   79.9 | S?    |
  PGC1071526              |  335.355735 |   -3.42053 |    16604 | 32.5200554593199 |   71.8 | S0-a  |
