Galaxy,ID
ESO499-G033,1
NGC3086,1
ESO499-G034,1
UGC05380,1
UGC05378,1
MCG-02-26-012,1
ESO566-G043,1
NGC3092,1
RC30958.6-0916,1
ESO567-G003,1
UGC05388,1
ESO567-G005,1
NGC3101,1
MCG-01-26-011,1
ESO567-G007,1
ESO567-G008,1
ESO499-G035,1
ESO567-G009,1
MCG-02-26-024,1
IC0587,1
MCG-02-26-027,1
UGCA195,1
ESO499-G038,1
MCG-01-26-013,1
NGC3112,1
NGC3110,1
UGC05424,1
CGCG008-031,1
ESO499-G040,1
UGC05440,1
IC2541,1
ESO567-G014,1
ESO567-G013,1
NGC3128,1
RC31003.8-1206,1
NGC3127,1
ESO567-G015,1
NGC3125,1
ESO567-G016,1
ESO499-G043,1
MCG-01-26-024,1
ESO500-G001,1
ESO567-G018,1
IC0592,1
ESO500-G003,1
NGC3130,1
IC0593,1
IC0594,1
UGC05473,1
NGC3138,1
NGC3140,1
ESO500-G004,1
ESO567-G020,1
UGC05483,1
ESO500-G005,1
LCRSB100735.4-122405,1
UGC05487,1
UGCA204,1
ESO500-G007,1
ESO567-G021,1
CGCG008-060,1
CGCG008-059,1
NGC3146,1
UGC05493,2
CGCG008-062,1
ESO500-G008,1
ESO500-G009,1
UGC05501,1
ESO500-G010,1
UGC05504,1
UGC05506,1
2MASXJ10130289-1718210,1
NGC3165,1
ESO500-G012,1
2MASXJ10134009-0051489,1
CGCG008-077,1
ESO500-G014,1
UGC05522,1
ESO500-G015,1
ESO567-G026,1
ESO500-G017,1
UGC05528,1
ESO567-G027,1
ESO567-G028,1
ESO436-G004,1
ESO500-G018,1
MCG-02-26-041,1
ESO567-G032,1
NGC3178,1
ESO567-G034,1
ESO567-G035,1
ESO567-G036,1
ESO567-G038,1
ESO567-G039,1
ESO567-G040,1
ESO567-G041,1
ESO500-G020,1
ESO567-G042,1
ESO500-G021,1
IC0601,1
ESO567-G043,1
ESO500-G022,1
ESO567-G046,1
ESO567-G047,1
ESO500-G023,1
IC0603,1
2MASXJ10193083-1628406,1
UGC05573,2
LCRSB101706.8-055809,1
NGC3208,1
ESO567-G048,1
LCRSB101713.2-060538,1
ESO500-IG026,1
ESO567-G050,1
LCRSB101731.7-055410,1
LCRSB101746.0-062852,1
ESO500-G027,1
AM1018-283,1
LCRSB101754.6-060058,1
ESO500-G028,1
LCRSB101759.2-060607,1
ESO500-G029,1
2MASXJ10203604-0706477,1
LCRSB101807.7-063320,1
ESO567-G054,1
LCRSB101818.6-063415,1
LCRSB101820.6-064327,1
LCRSB101825.7-062748,1
FGC1057,1
NGC3233,1
IC0605,1
UGC05607,1
ESO500-G032,1
UGC05616,1
CGCG009-018,1
MCG-01-27-007,1
ESO436-G014,1
FGC1062,1
NGC3240,1
ESO568-G004,1
ESO500-G036,1
MCG-03-27-010,1
ESO568-G006,1
MCG-02-27-001,1
IC0609,1
ESO568-G007,1
ESO436-G018,1
ESO436-G019,1
UGC05648,1
ESO436-G021,1
ESO568-G009,1
ESO568-G010,1
ESO500-G039,1
CGCG009-036,1
ESO500-G040,1
ESO568-G011,1
UGC05660,1
ESO568-G012,1
ESO500-G041,1
FGC1071,1
UGC05664,1
ESO500-G043,1
ESO500-G042,1
ESO436-G023,1
ESO500-G044,1
UGC05677,1
UGC05678,1
MCG-03-27-016,1
ESO500-G046,1
ESO501-G001,1
MCG-01-27-009,1
UGC05702,1
2MFGC08152,1
ESO501-G002,1
ESO568-G013,1
MCG-01-27-011,1
ESO436-G031,1
UGC05715,2
UGC05723,1
ESO501-G007,1
NGC3285A,1
ESO501-G010,1
ESO501-G011,1
ESO568-G017,1
ESO436-G036,1
UGC05736,1
ESO436-G038,1
ESO501-G016,1
ESO501-G017,1
NGC3285B,1
UGC05745,2
ESO437-G001,1
MCG-01-27-020,1
ESO437-G002,1
MCG-01-27-021,1
NGC3290,1
IC0623,1
MCG-02-27-009,1
ESO437-G006,1
NGC3307,1
ESO501-G033,1
ESO501-G032,1
ESO501-G035,1
ESO501-G037,1
ESO437-G010,1
ESO568-G019,1
ESO501-G040,1
ESO501-G039,1
ESO501-G041,1
ESO501-G042,1
UGC05772,1
ESO501-G044,1
NGC3314,1
UGC05779,1
KPG241,1
IC0628,1
ESO501-G053,1
2MASXJ10374052-2703284,1
ESO501-G059,1
ESO501-G057,1
ESO501-G060,1
ESO437-G019,1
ESO437-G020,1
UGC05783,1
UGC05784,1
ESO501-G063,1
ESO437-G022,1
ESO437-G023,1
UGC05787,1
ESO501-G065,1
ESO437-G025,1
ESO437-G026,1
UGC05788,2
NFPJ103902.2-083027,1
ESO437-G029,1
ESO501-G067,1
UGC05790,1
IC0632,1
ESO501-G068,1
ESO437-G031,1
IC0633,1
ESO437-G032,1
ESO501-G069,1
ESO501-G070,1
2MASXJ10392945-0826335,1
NGC3326,1
NGC3335,1
WINGSJ103942.54-083230.5,1
2MASXJ10395729-0835032,1
ESO437-G034,1
2MASXJ10395999-0838302,1
NGC3331,1
NGC3336,1
ESO501-G073,1
FGC1118,1
ESO568-G020,1
ESO437-G039,1
MCG-03-27-024,1
ESO501-G076,1
UGC05816,1
ESO437-G040,1
ESO501-G077,1
ESO568-G021,1
UGC05818,1
ESO501-G078,1
ESO437-G041,1
ESO437-G043,1
IC0636,1
NGC3340,2
MCG-03-27-026,1
ESO437-G046,1
ESO501-G081,1
ESO568-G023,1
ESO501-G082,1
2MFGC08347,1
UGCA217,1
ESO437-G054,1
ESO501-G086,1
ESO501-G085,1
UGC05847,1
ESO501-G087,1
VV410,1
NGC3356,1
NGC3360,1
ESO501-G088,1
NGC3361,1
ESO501-G090,1
NGC3362,1
UGC05867,1
UGC05865,1
MCG-02-28-006,1
FGC1130,1
ESO569-G003,1
ESO437-G060,1
ESO501-G094,1
ESO569-G004,1
ESO501-G096,1
UGC05886,1
CGCG038-011,1
CGCG038-012,1
ESO501-G098,1
NGC3383,1
NGC3376,1
UGC05892,2
UGC05896,1
ESO569-G005,1
ESO569-G007,1
ESO569-G008,1
UGC05913,1
CGCG010-018,1
2MASXJ10485752-0445374,1
ESO569-G011,1
ESO437-G064,1
UGC05923,1
CGCG010-026,1
ESO501-G101,1
UGC05929,1
CGCG010-030,1
UGC05940,1
ESO569-G013,1
NGC3420,1
UGC05943,2
NGC3409,1
IC0649,1
NGC3421,1
ESO501-G102,1
MCG-01-28-003,1
ESO501-G103,1
MCG-02-28-016,1
CGCG010-037,1
NGC3427,2
NGC3428,1
UGC05973,1
UGC05974,1
NGC3434,2
IC0653,1
MCG-01-28-004,1
ESO437-G069,1
NGC3453,1
ESO437-G070,1
ESO569-G018,1
ESO569-G019,1
NGC3456,1
NGC3452,1
ESO569-G020,1
MCG-01-28-005,1
NGC3459,1
VV466,1
UGC06040,1
ESO569-G023,1
ESO502-G003,1
NGC3466,2
ESO502-G004,1
UGC06046,1
NGC3469,1
ESO569-G024,1
ESO569-G025,1
UGC06049,1
ESO502-IG006,1
ESO569-G027,1
ESO569-G028,1
IC0657,1
ESO569-G029,1
UGC06053,1
CGCG010-046,1
ESO502-G007,1
AM1055-260N,1
ESO569-G030,1
CGCG038-072,1
MCG-02-28-026,1
NGC3479,1
CGCG010-051,1
UGC06066,1
CGCG010-052,1
CGCG038-075,1
ESO569-G031,1
CGCG010-054,1
MCG-01-28-012,1
MCG-01-28-013,1
CGCG038-079,1
ESO502-G008,1
RC31057.6-1550,1
MCG-02-28-032,1
CGCG038-084,1
UGC06087,1
UGC06086,1
UGC06091,1
CGCG038-089,1
CGCG010-062,1
6dFJ1101579-144412,1
ESO502-G009,1
MCG-02-28-041,1
CGCG038-091,1
ESO502-G010,1
CGCG010-063,1
VV463,1
CGCG038-095,1
MCG-01-28-022,1
ESO502-G012,1
NGC3508,1
CGCG038-098,1
MCG-03-28-032,1
CGCG038-104,1
MCG-03-28-033,1
CGCG010-066,1
NGC3514,2
UGC06130,1
UGC06141,1
UGC06142,1
CGCG038-115,1
CGCG038-116,1
CGCG010-071,1
ESO502-G016,1
UGC06146,1
ESO570-G002,1
MCG-01-28-024,1
CGCG038-121,1
CGCG066-110,1
UGC06155,1
ESO570-G003,1
FGC1195,1
CGCG010-077,1
NGC3526,1
UGC06168,1
MCG-02-28-049,1
IC0669,1
NGC3529,1
CGCG038-135,1
IC0671,2
CGCG011-002,1
UGC06185,1
MCG-02-29-001,1
CGCG039-008,1
NGC3541,1
NGC3535,1
CGCG039-014,1
CGCG039-016,1
CGCG011-007,1
UGC06197,1
CGCG011-008,1
ESO502-G020,1
IC0673,1
MCG-02-29-006,1
CGCG011-011,1
CGCG011-013,1
NGC3546,1
UGC06210,1
UGC06212,1
UGC06216,1
CGCG039-041,1
MCG-02-29-008,1
ESO438-G009,1
ESO570-G010,1
ESO438-G010,1
CGCG011-019,1
UGC06226,1
UGCA228,1
UGC06233,1
ESO502-G023,1
MCG-01-29-005,1
ESO438-G012,1
CGCG039-066,1
ESO502-G024,1
ESO570-G013,1
CGCG011-026,1
CGCG039-069,1
UGC06260,1
ESO503-G002,1
NGC3591,2
ESO503-G004,1
KUG1112-104,1
ESO438-G015,1
ESO438-G016,1
ESO503-G005,1
IC2668,1
NGC3601,1
ESO503-G006,1
CGCG011-037,1
CGCG011-038,1
UGC06289,1
IC2680,1
ESO503-G008,1
ESO570-G014,1
ESO503-G010,1
UGCA230,1
ESO570-G015,1
CGCG039-102,1
ESO438-G018,1
CGCG011-044,1
CGCG011-045,1
IC0680,1
UGC06311,2
ESO570-G016,1
FGC1224,1
CGCG011-050,1
NGC3624,1
ESO438-G020,1
ESO570-G017,1
UGC06329,1
ESO438-G021,1
UGC06331,1
MCG-02-29-018,1
CGCG039-119,1
UGC06340,1
CGCG011-062,1
ESO570-G019,1
NGC3633,1
NGC3635,2
ESO503-G015,1
CGCG011-065,1
NGC3637,2
CGCG011-068,1
MCG-01-29-011,1
CGCG011-076,1
CGCG011-077,1
ESO439-G002,1
IC2749,1
UGC06379,1
CGCG039-146,1
MCG-02-29-021,1
IC2757,1
CGCG039-152,1
CGCG039-157,1
UGC06402,1
CGCG011-085,1
NGC3661,1
NGC3662,2
UGC06413,1
NGC3663,1
CGCG039-167,1
CGCG011-089,1
NGC3667,1
CGCG011-090,1
NGC3667A,1
NGC3664,2
NGC3664A,1
UGC06417,1
MCG-02-29-027,1
UGC06432,1
IC0692,1
LCRSB112324.2-112948,1
UGC06440,1
CGCG011-095,1
UGC06442,1
CGCG039-182,1
ESO503-G017,1
ESO439-G009,1
ESO439-G010,1
CGCG011-100,1
MCG-01-29-023,1
NGC3688,2
CGCG039-186,1
UGC06462,1
KPG286,1
IC2850,1
UGC06466,1
IC2853,1
CGCG011-104,1
UGC06469,1
NGC3696,1
ESO571-G002,1
CGCG039-193,1
IC0699,1
ESO439-G012,1
ESO503-G018,1
FGC1258,1
CGCG039-195,1
CGCG039-194,1
ESO503-G019,1
CGCG011-111,1
NGC3702,2
CGCG039-197,1
IC2889,1
MCG-02-29-039,1
ESO571-G005,1
CGCG039-200,1
CGCG039-203,1
UGC06510,2
NGC3715,1
CGCG012-002,1
CGCG012-004,1
UGC06519,1
NGC3719,2
KPG289,1
CGCG040-002,1
NGC3720,2
CGCG012-015,1
UGC06533,1
CGCG012-016,1
MCG-02-30-003,1
IC0706,1
CGCG012-019,1
ESO503-G022,1
ESO503-G023,1
ARK300,1
FGC1272,1
6dFJ1134006-164726,1
ESO503-G024,1
CGCG012-024,1
NGC3732,1
MCG-01-30-004,1
MCG-01-30-002,1
CGCG012-025,1
ESO503-G025,1
CGCG012-027,1
NGC3734,1
CGCG040-007,1
ESO503-G026,1
UGC06558,1
CGCG012-032,1
ESO571-G006,1
ESO504-G001,1
UGC06568,1
MCG-02-30-007,1
UGC06571,1
CGCG012-035,1
NGC3777,1
ESO571-G008,1
CGCG012-037,1
CGCG012-038,1
NGC3763,1
CGCG040-009,1
ESO571-G009,1
MCG-02-30-010,1
MCG-01-30-011,1
CGCG012-041,1
CGCG040-011,1
ESO504-G004,1
UGC06587,1
CGCG012-042,1
ESO571-G010,1
MCG-01-30-013,1
CGCG040-016,1
NGC3789,1
ESO504-G005,1
MCG-02-30-011,1
NGC3774,1
UGC06608,2
ESO504-G006,1
NGC3779,1
MRK1302,1
ESO571-G012,1
IC0716,1
ESO504-G007,1
CGCG040-021,1
CGCG012-048,1
CGCG040-022,1
ESO571-G014,1
UGC06622,1
CGCG012-053,1
2MFGC09146,1
CGCG040-024,1
CGCG012-055,1
ESO571-G015,1
UGC06646,1
ESO439-G024,1
CGCG012-058,1
UGCA242,1
CGCG012-060,1
CGCG040-031,1
ESO571-G016,1
MCG-02-30-016,1
UGC06665,1
MCG-01-30-024,1
IC0720,1
IC0721,1
ESO571-G017,1
CGCG012-063,1
IC0722,1
ESO571-G018,1
IC0723,1
ESO504-G010,1
ESO504-G012,1
NGC3836NED01,1
NGC3836,1
NGC3843,1
CGCG012-068,1
ESO571-G020,1
CGCG040-036,1
ESO440-G001,1
IC0728,1
NGC3854,1
NGC3863,1
NGC3858,1
NGC3876,2
NGC3849,1
UGC06734,1
UGC06736,1
ESO440-G005,1
CGCG040-042,1
CGCG012-079,1
ESO504-G014,1
ARP248NED01,1
ESO572-G001,1
UGC06750,1
ARP248NED02,1
ESO440-G008,1
ARP248NED03,1
MCG-02-30-029,1
UGC06771,1
ESO504-G015,1
ESO440-G010,1
ESO504-G017,1
CGCG012-089,1
CGCG012-090,1
NGC3905,1
NGC3907B,1
NGC3915,1
CGCG012-093,1
ESO504-G018,1
ESO572-G003,1
CGCG012-100,1
UGC06804,1
CGCG012-102,1
ESO572-G005,1
CGCG040-049,1
NGC3914,1
CGCG012-103,1
MCG-01-30-039,1
NGC3942,1
UM460,1
CGCG012-108,1
UGC06838,1
IC2969,1
ESO440-G023,1
ESO504-G021,1
UGC06854,1
ESO504-G022,1
IC0743,1
ESO504-G024,1
NGC3952,1
ESO572-G010,1
ESO504-G025,1
UGC06875,1
ESO504-G027,1
ESO572-G015,1
CGCG012-113,1
UGCA252,1
LCRSB115151.0-113904,1
UGC06879,1
NGC3959,1
FGC1327,1
CGCG040-063,1
ESO504-G028,1
CGCG040-064,1
NGC3969,1
UGC06886,2
ESO440-G030,1
UGC06897,1
UGC06903,2
NGC3974,1
ESO572-G019,1
ESO572-G022,1
MCG-02-31-002,1
ESO504-G029,1
ESO572-G024,1
ESO504-G030,1
ESO440-G035,1
ESO572-G026,1
MCG-02-31-005,1
CGCG013-014,1
ESO572-G029,1
UGC06958,2
UGC06970,1
ESO572-G033,1
FGC1344,1
UGC06978,1
CGCG013-027,1
ESO572-G035,1
ESO505-G001,1
CGCG013-030,1
ESO572-G038,1
CGCG013-032,1
NGC4029,1
ESO572-G039,1
CGCG013-034,1
ESO572-G040,1
NGC4035,1
UGC06994,1
ESO572-G041,1
ESO572-G043,1
NGC4030b,1
ESO572-G044,1
ESO572-G045,1
ESO572-G046,1
ESO505-G004,1
UGC07008,1
VV462,1
UGC07011,1
NGC4043,1
MCG-01-31-002,1
MCG-02-31-012,1
ESO505-G006,1
CGCG013-044,1
IC0756,1
ESO572-G049,1
ESO505-G008,1
UGC07035,1
CGCG013-052,1
UGC07037,1
NGC4058,1
ESO505-G009,1
UGC07042,1
ESO572-G051,1
CGCG013-062,1
UGC07065,1
CGCG013-066,1
CGCG013-068,1
UGC07085W,1
CGCG013-070,1
UGC07085,1
ESO505-G011,1
ESO572-G052,1
FGC1365,1
ESO573-G001,1
ESO440-G055,1
MCG-02-31-017,1
CGCG013-077,1
NGC4114,1
ESO505-G017,1
MCG-02-31-019,1
ESO573-G002,1
ESO441-G004,1
CGCG013-080,1
MCG-03-31-023,1
ESO505-G019,1
CGCG013-084,1
ESO505-G020,1
CGCG013-086,1
ESO441-G010,1
ESO505-G021,1
ESO505-G022,1
ESO505-G023,1
CGCG013-088,1
UGC07148,1
6dFJ1210017-164015,1
ESO505-G024,1
CGCG013-090,1
CGCG013-092,1
CGCG013-094,1
ESO441-G016,1
ESO505-G025,1
IC0766,1
UGC07184,1
UGC07185,1
CGCG013-099,1
MCG-01-31-008,1
MCG-01-31-009,1
ESO505-G026,1
NGC4177,1
CGCG013-103,1
NGC4180,1
CGCG013-105,1
ESO573-G004,1
CGCG013-107,1
CGCG013-108,1
