Galaxy,ID
ESO508-G027,1
NGC5030,1
NGC5031,1
ESO576-G015,1
MCG-01-34-013,1
ESO508-G028,1
ESO576-G016,1
NGC5035,1
UGCA339NOTES01,1
UGC08324,1
ESO576-G017,1
NGC5050,1
ESO508-G032,1
NGC5051,1
ESO576-G019,1
ESO444-G002,1
ESO444-G003,1
ESO576-G022,1
ESO508-G034,1
NGC5059,1
IC0872,1
IC4216,1
IC0863,1
NGC5060,1
MCG-02-34-015,1
ESO508-G035,1
ESO508-G036,1
IC0871,1
UGC08360,1
UGC08361,1
ESO508-G039,1
IC4221,1
IC0876,1
ESO576-G026,1
DDO171,1
ESO576-G027,1
ESO576-G028,1
FGC1592,1
SGC1316.2-1722,1
ESO508-G043,1
MCG-02-34-024,1
ESO508-G044,1
ESO508-IG045,1
NGC5079,1
IC0879,1
UGCA348,1
SGC1317.2-1702,1
VV802,1
ESO508-G049,1
MCG-03-34-051,1
UGC08379,1
ESO576-G036,1
ESO576-G037,1
ESO508-G051,1
ESO576-G038,1
NGC5095,1
UGC08385,1
ESO508-G052,1
ESO508-G053,1
ESO444-G012,1
ESO508-G055,1
ESO508-G057,1
ESO576-G041,1
NGC5104,1
NGC5105,1
ESO508-G059,1
MCG-03-34-063,1
MCG-03-34-064,1
IC4229,1
ESO576-G043,1
IC4231,1
ESO576-G044,1
IC4232,1
NGC5118,1
ESO508-G062,1
ESO508-G063,1
ESO576-G045,1
ESO444-G022,1
ESO508-G065,1
ESO576-G046,1
NGC5125,1
UGCA352,1
ESO576-G047,1
ESO508-G067,1
ESO508-G068,1
IC4237,1
UGC08427,1
ESO576-G049,1
ESO508-G069,1
ESO508-G070,1
ESO508-G071,1
ESO576-G051,1
ESO508-G072,1
ESO508-G075,1
ESO508-G076,1
ESO508-G077,1
LCRSB132304.8-033321,1
ESO508-G078,1
ESO444-G031,1
LCRSB132309.8-033615,1
ESO576-G053,1
ESO576-G055,1
MCG-03-34-076,1
NGC5147,1
ESO576-G057,1
ESO576-G058,1
ESO509-G005,1
CGCG016-070,1
NGC5148,1
ESO509-G006,1
ESO509-G007,1
MCG-02-34-051,1
ESO576-G060,1
IC4248,1
ESO509-G010,1
ESO444-G036,1
IC4249,1
ESO444-G040,1
ESO576-G061,1
IC4253,1
NGC5150,1
IC4254,1
NGC5152,1
MCG-02-34-054,1
ESO509-G022,1
ESO509-G023,1
NGC5159,1
ESO509-G024,1
MCG-02-34-055,1
ESO509-G026,1
ESO444-G048,1
ESO444-G049,1
CGCG016-073,1
ESO444-G050,1
ESO576-G062,1
ESO576-G063,1
ESO509-G028,1
ESO576-G064,1
ESO509-G030,1
UGC08481,1
MCG-02-34-058,1
2MASXJ13295318-2929308,1
MCG-02-34-059,1
ESO576-G068,1
NGC5183,1
ESO509-G033,1
NGC5184,1
ESO576-G071,1
MCG-02-34-060,1
IC4264,1
IC4265,1
IC4262,1
IC4267,1
ESO576-G073,1
ESO576-G074,1
ESO576-G075,1
NGC5182,1
ESO509-G036,1
IC4270,1
NGC5192,1
ESO577-G001,1
MCG-02-34-061,1
ESO509-G038,1
ESO509-G040,1
IC4272,1
ESO509-G039,1
2MASXJ13311896-2920546,1
ESO577-G003,1
IC0893,1
IC4275,1
LCRSB132927.9-033422,1
IC4276,1
ESO577-G005,1
ESO577-G006,1
ESO509-G045,1
ESO509-G044,1
ESO577-G007,1
ESO509-G046,1
AM1329-223,1
UGC08521,1
ESO509-G048,1
IC4281,1
ESO509-G050,1
ESO509-G051,1
ESO509-G052,1
NGC5210,1
CGCG017-017,1
IC4280,1
UGC08527,1
UGC08526,1
ESO509-G055,1
NGC5211,1
ESO509-G056,1
UGC08532,1
2MASXJ13332121-0427315,1
UGC08533,1
ESO577-G010,1
UGC08534,1
IC4286,1
CGCG017-023,1
UGC08537,1
