#name            lambda_eff      filter_id       fit?
GALEXFUV         0.152           123             1
GALEXNUV         0.231           124             1
SDSSu            0.3534          229             1
SDSSg            0.4742          230             1
PS1g             0.481           323             1
PS1r             0.617           324             1
SDSSr            0.6189          231             1
PS1i             0.752           325             1
SDSSi            0.7595          232             1
PS1z             0.866           326             1
SDSSz            0.9032          233             1
PS1y             0.962           327             1
SDSSu            0.354           115             1
SDSSg            0.477           116             1
SDSSr            0.623           117             1
SDSSi            0.763           118             1
SDSSz            0.913           119             1
WISEW1           3.4             280             1
IRAC3.6          3.550           153             1
IRAC4.5          4.493           154             1
WISEW2           4.6             281             1
IRAC5.8          5.731           155             1
IRAC8.0          7.872           156             1
WISEW3           12.0            282             1
WISEW4           22.0            283             1
MIPS24           23.68           157             1
MIPS70           71.42           158             1
PACS75           75.0            169             1
PACS110          110.0           170             1
MIPS160          155.9           159             1
PACS170          170.0           171             1
SPIRE250         250.0           172             1
SPIRE350         350.0           173             1
SPIRE500         500.0           174             1
